Date,T_0,P_0,PET_0,T_1,P_1,PET_1,T_2,P_2,PET_2
2009-09-03,18.1,0.0,3.92,15.1,0.0,3.66,14.9,0.0,3.8
2009-09-04,19.7,0.0,4.46,17.0,0.0,4.22,16.5,0.0,4.42
2009-09-05,19.8,0.0,4.5,17.1,0.0,4.25,16.3,0.0,4.31
2009-09-06,18.3,0.0,3.95,15.3,0.0,3.67,14.9,0.0,3.78
2009-09-07,17.1,0.0,2.45,14.1,0.0,2.3,14.6,0.0,2.78
2009-09-08,19.5,0.0,3.91,16.6,0.2,3.7,17.0,0.0,4.01
2009-09-09,20.4,3.9,3.95,18.0,3.6,3.83,16.7,1.4,4.03
2009-09-10,16.8,1.1,2.74,14.0,1.4,2.44,13.1,2.0,2.47
2009-09-11,17.2,0.0,2.61,14.4,0.0,2.44,13.9,0.0,2.65
2009-09-12,18.1,11.7,3.41,15.8,10.2,3.26,14.8,3.1,3.49
2009-09-13,17.9,7.9,2.79,15.4,6.0,2.6,14.0,5.3,2.71
2009-09-14,17.3,0.0,3.4,14.9,0.0,3.19,13.5,0.0,3.09
2009-09-15,16.8,0.0,2.85,14.0,0.1,2.66,12.7,0.1,2.47
2009-09-16,14.2,0.7,2.35,11.2,0.8,2.14,10.3,0.8,2.2
2009-09-17,12.9,0.1,1.91,10.1,0.1,1.79,8.8,0.0,1.79
2009-09-18,14.0,0.0,3.17,11.2,0.0,2.98,10.6,0.0,3.07
2009-09-19,14.2,0.5,2.13,11.4,0.4,2.19,11.0,1.4,2.66
2009-09-20,13.1,5.4,1.82,10.2,5.5,1.69,9.6,4.1,1.76
2009-09-21,10.8,8.7,1.03,8.2,10.7,0.98,7.7,13.3,1.0
2009-09-22,11.4,4.3,2.01,9.1,4.4,1.88,7.9,6.1,1.92
2009-09-23,10.9,5.4,1.19,8.1,6.2,1.04,6.6,8.0,0.87
2009-09-24,11.2,0.0,2.98,7.9,0.0,2.75,7.4,0.0,2.86
2009-09-25,13.2,0.0,3.26,10.3,0.0,3.07,9.2,0.0,3.07
2009-09-26,13.6,0.0,3.18,11.2,0.0,2.99,10.1,0.0,2.93
2009-09-27,9.2,5.3,0.93,6.3,5.9,0.84,5.1,8.6,0.92
2009-09-28,6.6,5.2,1.34,3.5,5.8,1.18,1.6,7.1,1.17
2009-09-29,9.8,0.0,2.11,7.0,0.2,1.85,5.3,0.9,1.54
2009-09-30,12.1,0.0,3.09,9.7,0.0,2.92,8.2,0.0,2.83
2009-10-01,12.6,0.0,2.45,9.8,0.0,2.17,8.3,0.0,2.04
2009-10-02,13.8,0.0,3.22,11.5,0.0,3.06,9.6,0.0,3.04
2009-10-03,15.5,0.0,3.34,13.3,0.0,3.23,11.1,0.0,3.25
2009-10-04,16.0,0.0,3.44,14.0,0.0,3.29,12.5,0.0,3.25
2009-10-05,15.3,0.1,2.88,12.9,0.1,2.72,12.1,0.2,2.81
2009-10-06,13.0,1.3,1.28,10.1,1.0,1.21,9.3,0.6,1.37
2009-10-07,11.4,0.0,1.56,8.1,0.0,1.36,8.2,0.0,1.44
2009-10-08,13.1,1.3,2.25,10.0,2.4,2.15,9.5,4.3,2.29
2009-10-09,13.1,1.9,2.41,10.5,2.5,2.28,8.9,2.7,2.24
2009-10-10,13.3,0.0,1.92,10.3,0.0,1.78,8.9,0.0,1.79
2009-10-11,14.4,0.0,2.77,11.9,0.0,2.64,9.9,0.0,2.63
2009-10-12,15.0,0.0,3.22,12.6,0.0,3.11,10.5,0.0,3.07
2009-10-13,16.0,0.2,3.45,14.0,0.1,3.3,11.0,0.0,2.96
2009-10-14,14.9,0.0,3.16,12.6,0.0,3.02,10.4,0.0,3.06
2009-10-15,15.1,0.0,2.44,13.0,0.0,2.43,10.8,0.0,2.69
2009-10-16,16.0,0.0,2.89,13.8,0.0,2.82,11.2,0.0,2.8
2009-10-17,16.0,0.0,2.88,13.7,0.0,2.73,11.6,0.0,2.67
2009-10-18,17.3,0.0,3.03,15.1,0.0,2.87,12.3,0.0,2.84
2009-10-19,17.4,0.0,3.14,15.3,0.0,3.05,13.1,0.0,2.91
2009-10-20,17.4,0.2,3.01,15.0,0.2,2.9,13.1,0.0,2.86
2009-10-21,16.3,0.5,2.65,14.3,0.4,2.58,12.4,0.7,2.76
2009-10-22,13.6,0.0,1.3,10.5,0.0,1.23,9.8,0.0,1.6
